season,climate,country,coolingStrategy,thermalPreference,thermalComfort,indoorTemperature
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,22.9
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,3,22.9
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,3,23.4
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23.3
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23.8
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23.9
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,4,22.8
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,22.9
Winter,Warm-summer humid continental,USA,Air Conditioned,cooler,3,22.9
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,5,22.8
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,3,23
Winter,Warm-summer humid continental,USA,Air Conditioned,cooler,5,23.4
Winter,Warm-summer humid continental,USA,Air Conditioned,cooler,3,23
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,22.5
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,4,22.8
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,2,23.1
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,3,23.5
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23.8
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23.7
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,4,22.8
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,22.8
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,4,23.7
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23.9
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,24.1
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23.7
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,4,23.4
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,22.9
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23
Winter,Warm-summer humid continental,USA,Air Conditioned,cooler,3,23
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23.4
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,22.4
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,5,23
Winter,Warm-summer humid continental,USA,Air Conditioned,cooler,5,23.5
Winter,Warm-summer humid continental,USA,Air Conditioned,cooler,3,23.2
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,22.1
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,22.5
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,2,22.6
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,22.7
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23.4
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23.7
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,5,23.9
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,5,23.5
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,4,23.5
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23.9
Winter,Warm-summer humid continental,USA,Air Conditioned,cooler,2,22.7
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,5,23.1
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,3,23.1
Winter,Warm-summer humid continental,USA,Air Conditioned,warmer,3,23
Winter,Warm-summer humid continental,USA,Air Conditioned,no change,6,23
