Year,Season,Climate,City,Country,Age,Sex,thermal_preference,thermal_comfort,SET,air_temp_c,air_temp_f,operative_temp_c,air_velocity_ms,air_velocity_fpm
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,warmer,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,no change,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Male,no change,6,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,4,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Male,no change,6,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,1,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Male,no change,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,no change,4,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,cooler,3,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,13,Male,no change,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,no change,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,no change,4,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,no change,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,cooler,4,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,no change,5,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Male,no change,4,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,14,Male,warmer,4,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,3,NA,24.2,75.6,NA,0.06,11.81
2000,Summer,Humid subtropical,Tokyo,Japan,15,Female,cooler,3,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,warmer,5,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,4,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,5,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,4,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,no change,5,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Male,no change,5,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,13,Male,cooler,2,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Male,no change,4,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,51,Male,no change,5,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,13,Female,no change,5,NA,23.6,74.4,NA,0.1,19.69
2000,Summer,Humid subtropical,Tokyo,Japan,14,Female,cooler,5,NA,23.6,74.4,NA,0.1,19.69
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,3,NA,26.9,80.5,NA,NA,NA
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,5,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,warmer,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,1,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,13,Male,cooler,1,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,13,Male,warmer,2,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,cooler,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,warmer,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,cooler,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,2,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,cooler,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,5,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,2,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,cooler,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,5,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,cooler,5,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,NA,cooler,6,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,cooler,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,cooler,5,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,4,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Male,no change,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,48,Male,cooler,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,no change,3,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,13,Female,no change,2,NA,26.9,80.5,NA,0.27,53.15
2000,Autumn,Humid subtropical,Tokyo,Japan,14,Female,cooler,4,NA,26.9,80.5,NA,0.27,53.15
